Irr_area_ha,Precip_mm,WTD_Rnd_Frst_m,WTD_USGS_m,aquifer_state,aquifer_region,aquifer,state,year,month
459596.09375,14.390409298166063,47.27235413227404,22.500168467855705,SRP_ID,SRP_ID_East,SRP,Idaho,1986,10
198363.0,22.06174938065489,46.839507472826085,13.69814078656829,BR_AZ,BR_AZ,BR,Arizona,1986,10
99697.1015625,28.538472767189834,6.0731589577414775,2.7785478486430306,RG_CO,RG_CO,RG,Colorado,1986,10
493466.9375,78.20695159138555,63.97469783107204,18.088654826567563,HPA_TX,HPA_TX_North,HPA,Texas,1986,10
34634.6953125,30.570487377389338,43.566433981997974,35.72882608148893,HPA_OK,HPA_OK,HPA,Oklahoma,1986,10
174328.15625,37.19680922827847,37.260467980295566,22.88390447922288,HPA_CO,HPA_CO,HPA,Colorado,1986,10
166122.75,17.688713304924242,25.540158757903697,18.00631991299716,CP_OR,CP_OR,CP,Oregon,1986,10
174377.5,10.83011280586834,13.110725882237432,16.04489734462971,BR_NV,BR_NV,BR,Nevada,1986,10
159808.09375,21.601456151832462,14.662402077656676,26.463328288612566,BR_UT,BR_UT,BR,Utah,1986,10
278661.4375,38.63373572492552,8.602828101120734,7.202315238642006,DBA_CO,DBA_CO,DBA,Colorado,1986,10
72710.3515625,78.27178724053724,27.052288083538084,22.10751726572039,HPA_TX,HPA_TX_South,HPA,Texas,1986,10
118923.015625,64.0387270602493,7.516389024715505,3.832460017745845,HPA_KS,HPA_KS,HPA,Kansas,1986,10
999.3064575195312,35.81079915364583,9.960924275716145,2.4972910563151043,HPA_KS,HPA_KS,HPA,Kansas,1986,10
344885.5,39.12980200024925,34.36908623417722,15.377647331443171,HPA_KS,HPA_KS_West,HPA,Kansas,1986,10
953253.125,0.2631898716517857,40.553394730567476,13.314857700892857,CV_CA,CV_CA_Tulare,CV,California,1986,10
647752.5625,5.020905268183128,8.454126582824202,3.5427315526518064,CV_CA,CV_CA_Sacramento,CV,California,1986,10
927129.25,0.31187965941584966,19.05876032782516,7.448410947712419,CV_CA,CV_CA_SanJoaquin,CV,California,1986,10
240575.5625,5.635919802191982,24.322925429004037,21.886700924869622,SRP_ID,SRP_ID_West,SRP,Idaho,1986,10
,,,,SRP_ID,SRP_ID,SRP,Idaho,1986,10
